timestamp,actual_price,q10,q50,q90
2025-10-01 00:00:00,19.13,15.10375,19.235,24.10225
2025-10-01 01:00:00,18.0275,15.3095,18.9825,22.73325
2025-10-01 02:00:00,17.44,14.21375,17.8075,22.3425
2025-10-01 03:00:00,18.36,14.744,17.87375,22.380000000000003
2025-10-01 04:00:00,18.7875,16.1495,19.322499999999998,22.732500000000005
2025-10-01 05:00:00,20.924999999999997,16.138250000000003,20.195,23.882500000000004
2025-10-01 06:00:00,22.785,17.975250000000003,22.42,28.845750000000002
2025-10-01 07:00:00,22.79,18.293,22.721249999999998,29.85050000000001
2025-10-01 08:00:00,12.2975,17.48425,22.075,26.831
2025-10-01 09:00:00,3.2075,8.99675,15.057500000000001,20.04025
2025-10-01 10:00:00,15.425,2.2447500000000002,13.399999999999999,20.071500000000004
2025-10-01 11:00:00,13.8,11.677750000000001,17.6175,22.13825
2025-10-01 12:00:00,21.3975,10.462250000000001,16.81625,22.09625
2025-10-01 13:00:00,27.1825,18.466,23.2075,29.33125
2025-10-01 14:00:00,27.155,21.500750000000004,26.28125,38.29875
2025-10-01 15:00:00,32.905,22.688499999999998,28.785,39.956
2025-10-01 16:00:00,28.060000000000002,24.34125,32.39,47.59300000000001
2025-10-01 17:00:00,32.71,24.331750000000003,33.00625,50.7575
2025-10-01 18:00:00,61.8525,26.209500000000002,45.92125,81.60525000000001
2025-10-01 19:00:00,53.135,35.085,60.40125,109.51950000000001
2025-10-01 20:00:00,27.685,27.552,43.15,72.86425000000001
2025-10-01 21:00:00,22.3975,20.148249999999997,24.665,36.400500000000015
2025-10-01 22:00:00,18.052500000000002,18.1275,22.0425,28.267750000000007
2025-10-01 23:00:00,17.875,13.905000000000001,18.35875,23.101750000000003
2025-10-02 00:00:00,17.905,13.743500000000001,17.455,21.548000000000002
2025-10-02 01:00:00,17.4175,13.942499999999999,17.512500000000003,21.125500000000002
2025-10-02 02:00:00,17.8375,13.397499999999999,17.365000000000002,21.33075
2025-10-02 03:00:00,19.285,14.682500000000001,17.8875,22.41175
